date,state,data_type,population,elderly_population_percent,working_age_population_percent,under_30_population_percent,outdoor_worker_fraction,urban_population_percent,maximum_temperature_c,minimum_temperature_c,mean_temperature_c,relative_humidity_percent,wind_speed_mps,dew_point_c,heat_index_c,heat_index_f,wbgt_c,wbgt_category,hours_above_heat_threshold,nighttime_min_temperature_c,heatwave_day,consecutive_hot_days,temperature_anomaly_c,humidity_anomaly_percent,heat_duration_hours,consecutive_heat_days,nighttime_heat_stress,humidity_burden,outdoor_exposure_index,urban_heat_index,population_exposure_index,vulnerability_index,public_health_response_index,healthcare_access_index,heat_action_plan_index,cooling_access_index,heat_exposure_index,heat_exposure_lag_1,heat_exposure_lag_2,heat_exposure_lag_3,heat_exposure_lag_7,cumulative_heat_load_3day,cumulative_heat_load_7day,expected_heatstroke_deaths,expected_other_heat_related_deaths,expected_heat_related_deaths,heatstroke_deaths,other_heat_related_deaths,heat_related_deaths_total,heat_related_deaths_male,heat_related_deaths_female,heatstroke_deaths_male,heatstroke_deaths_female,heat_related_deaths_under_30,heat_related_deaths_30_59,heat_related_deaths_60_plus,mortality_anomaly,heat_related_mortality_rate_per_100000,heatstroke_mortality_rate_per_100000,thermal_signature
2025-09-27,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,31.2,26.0,28.6,89.3,3.47,26.67,40.44,104.79,29.33,CAUTION,0,26.62,False,0,0.89,6.7,0,0,0.437,1.0,0.399,0.411,0.462,0.506,0.603,0.847,0.65,0.574,0.1494,0.116,0.0603,0.0827,0.0,0.3257,0.5522,0.00409,0.0122,0.01629,0,0,0,0,0,0,0,0,0,0,-0.01629,0.0,0.0,"{""max_temperature_c"": 31.2, ""mean_temperature_c"": 28.6, ""humidity_percent"": 89.3, ""wbgt_c"": 29.33, ""heat_index_c"": 40.44, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-27,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,30.32,19.92,25.12,69.5,0.71,19.14,31.75,89.14,25.93,LOW,0,20.46,False,0,1.78,-6.6,0,0,0.0,0.142,0.731,0.359,0.714,0.556,0.475,0.68,0.55,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01168,0.03468,0.04636,0,0,0,0,0,0,0,0,0,0,-0.04636,0.0,0.0,"{""max_temperature_c"": 30.32, ""mean_temperature_c"": 25.12, ""humidity_percent"": 69.5, ""wbgt_c"": 25.93, ""heat_index_c"": 31.75, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-28,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,31.79,25.47,28.63,77.2,1.79,24.24,37.92,100.26,28.77,CAUTION,0,26.16,False,0,0.92,-0.2,0,0,0.36,0.78,0.458,0.461,0.757,0.514,0.563,0.791,0.6,0.556,0.1075,0.0251,0.0173,0.0082,0.0469,0.1499,0.2543,0.01308,0.03904,0.05212,0,0,0,0,0,0,0,0,0,0,-0.05212,0.0,0.0,"{""max_temperature_c"": 31.79, ""mean_temperature_c"": 28.63, ""humidity_percent"": 77.2, ""wbgt_c"": 28.77, ""heat_index_c"": 37.92, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-28,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.39,24.53,27.46,87.8,2.49,25.26,37.14,98.85,28.37,CAUTION,0,25.14,False,0,0.08,5.2,0,0,0.19,0.908,0.355,0.404,0.453,0.502,0.61,0.846,0.65,0.574,0.078,0.1494,0.116,0.0603,0.0327,0.3434,0.5976,0.00373,0.01124,0.01497,0,0,0,0,0,0,0,0,0,0,-0.01497,0.0,0.0,"{""max_temperature_c"": 30.39, ""mean_temperature_c"": 27.46, ""humidity_percent"": 87.8, ""wbgt_c"": 28.37, ""heat_index_c"": 37.14, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-28,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,31.93,22.59,27.26,66.2,1.02,20.4,34.38,93.88,27.31,LOW,0,23.14,False,0,3.41,-9.8,0,0,0.0,0.301,0.551,0.369,0.678,0.56,0.459,0.679,0.55,0.489,0.0328,0.0,0.0,0.0,0.0,0.0328,0.0328,0.01031,0.03331,0.04362,0,0,0,0,0,0,0,0,0,0,-0.04362,0.0,0.0,"{""max_temperature_c"": 31.93, ""mean_temperature_c"": 27.26, ""humidity_percent"": 66.2, ""wbgt_c"": 27.31, ""heat_index_c"": 34.38, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-29,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,30.65,25.65,28.15,81.8,1.23,24.74,36.9,98.42,28.38,CAUTION,0,26.33,False,0,-0.15,4.2,0,0,0.388,0.843,0.565,0.451,0.778,0.513,0.561,0.789,0.6,0.555,0.0788,0.1075,0.0251,0.0173,0.0382,0.2115,0.295,0.0141,0.03966,0.05375,0,0,0,0,0,0,0,0,0,0,-0.05375,0.0,0.0,"{""max_temperature_c"": 30.65, ""mean_temperature_c"": 28.15, ""humidity_percent"": 81.8, ""wbgt_c"": 28.38, ""heat_index_c"": 36.9, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-29,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.44,25.26,27.85,80.8,2.81,24.24,36.0,96.8,27.86,LOW,0,25.84,False,0,0.12,-1.8,0,0,0.306,0.78,0.37,0.387,0.456,0.501,0.577,0.847,0.65,0.569,0.0466,0.078,0.1494,0.116,0.0633,0.274,0.5808,0.00371,0.01114,0.01485,0,0,0,0,0,0,0,0,0,0,-0.01485,0.0,0.0,"{""max_temperature_c"": 30.44, ""mean_temperature_c"": 27.85, ""humidity_percent"": 80.8, ""wbgt_c"": 27.86, ""heat_index_c"": 36.0, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-29,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,29.04,20.34,24.69,71.3,2.86,19.15,30.4,86.72,25.05,LOW,0,20.84,False,0,0.53,-4.8,0,0,0.0,0.143,0.751,0.331,0.718,0.558,0.527,0.679,0.55,0.488,0.0,0.0328,0.0,0.0,0.0,0.0328,0.0328,0.01163,0.03432,0.04595,0,0,0,0,0,0,0,0,0,0,-0.04595,0.0,0.0,"{""max_temperature_c"": 29.04, ""mean_temperature_c"": 24.69, ""humidity_percent"": 71.3, ""wbgt_c"": 25.05, ""heat_index_c"": 30.4, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-30,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,31.51,24.97,28.24,79.8,2.31,24.41,37.74,99.94,28.65,CAUTION,0,25.65,False,0,0.78,2.0,0,0,0.274,0.802,0.582,0.448,0.781,0.512,0.574,0.79,0.6,0.558,0.0991,0.0788,0.1075,0.0251,0.0305,0.2854,0.3636,0.01428,0.03972,0.054,0,0,0,0,0,0,0,0,0,0,-0.054,0.0,0.0,"{""max_temperature_c"": 31.51, ""mean_temperature_c"": 28.24, ""humidity_percent"": 79.8, ""wbgt_c"": 28.65, ""heat_index_c"": 37.74, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-30,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.86,25.63,28.24,80.9,2.33,24.65,37.1,98.79,28.26,CAUTION,0,26.2,False,0,0.55,-1.7,0,0,0.367,0.831,0.475,0.38,0.478,0.495,0.625,0.846,0.65,0.572,0.0696,0.0466,0.078,0.1494,0.0478,0.1942,0.6026,0.00397,0.01139,0.01536,0,0,0,0,0,0,0,0,0,0,-0.01536,0.0,0.0,"{""max_temperature_c"": 30.86, ""mean_temperature_c"": 28.24, ""humidity_percent"": 80.9, ""wbgt_c"": 28.26, ""heat_index_c"": 37.1, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-09-30,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,30.13,22.25,26.19,74.3,5.25,21.25,32.89,91.2,26.37,LOW,0,22.77,False,0,1.63,-1.8,0,0,0.0,0.407,0.686,0.347,0.705,0.563,0.472,0.678,0.55,0.489,0.0093,0.0,0.0328,0.0,0.0,0.0421,0.0421,0.01129,0.03427,0.04556,0,0,0,0,0,0,0,0,0,0,-0.04556,0.0,0.0,"{""max_temperature_c"": 30.13, ""mean_temperature_c"": 26.19, ""humidity_percent"": 74.3, ""wbgt_c"": 26.37, ""heat_index_c"": 32.89, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-01,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,30.65,22.89,26.77,79.4,5.83,22.9,34.92,94.86,27.11,LOW,0,23.54,False,0,-0.01,1.5,0,0,0.0,0.612,0.562,0.436,0.777,0.51,0.565,0.792,0.6,0.557,0.0278,0.0991,0.0788,0.1075,0.0275,0.2057,0.3638,0.01329,0.03728,0.05057,0,0,0,0,0,0,0,0,0,0,-0.05057,0.0,0.0,"{""max_temperature_c"": 30.65, ""mean_temperature_c"": 26.77, ""humidity_percent"": 79.4, ""wbgt_c"": 27.11, ""heat_index_c"": 34.92, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-01,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,31.7,26.85,29.28,85.0,2.11,26.49,40.96,105.73,29.73,CAUTION,0,27.44,False,0,1.38,2.4,0,0,0.574,1.0,0.431,0.393,0.469,0.495,0.608,0.847,0.65,0.575,0.1794,0.0696,0.0466,0.078,0.0827,0.2956,0.6994,0.00424,0.01255,0.01679,0,0,0,0,0,0,0,0,0,0,-0.01679,0.0,0.0,"{""max_temperature_c"": 31.7, ""mean_temperature_c"": 29.28, ""humidity_percent"": 85.0, ""wbgt_c"": 29.73, ""heat_index_c"": 40.96, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-01,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,26.71,18.48,22.59,74.6,2.15,17.85,27.62,81.71,23.33,LOW,0,18.96,False,0,-1.78,-1.6,0,0,0.0,0.0,0.725,0.32,0.713,0.554,0.456,0.676,0.55,0.491,0.0,0.0093,0.0,0.0328,0.0,0.0093,0.0421,0.01148,0.03407,0.04556,0,0,0,0,0,0,0,0,0,0,-0.04556,0.0,0.0,"{""max_temperature_c"": 26.71, ""mean_temperature_c"": 22.59, ""humidity_percent"": 74.6, ""wbgt_c"": 23.33, ""heat_index_c"": 27.62, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-02,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,30.22,22.97,26.6,82.0,2.19,23.28,34.71,94.47,27.42,LOW,0,23.58,False,0,-0.36,3.9,0,0,0.0,0.66,0.598,0.403,0.785,0.499,0.577,0.794,0.6,0.556,0.0356,0.0278,0.0991,0.0788,0.0082,0.1625,0.3912,0.0132,0.03645,0.04964,0,0,0,0,0,0,0,0,0,0,-0.04964,0.0,0.0,"{""max_temperature_c"": 30.22, ""mean_temperature_c"": 26.6, ""humidity_percent"": 82.0, ""wbgt_c"": 27.42, ""heat_index_c"": 34.71, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-02,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,31.22,25.47,28.35,81.6,0.3,24.89,37.93,100.27,28.95,CAUTION,0,26.07,False,0,0.91,-1.1,0,0,0.345,0.861,0.428,0.398,0.468,0.495,0.595,0.845,0.65,0.576,0.1216,0.1794,0.0696,0.0466,0.0603,0.3707,0.7606,0.00409,0.01188,0.01597,0,0,0,0,0,0,0,0,0,0,-0.01597,0.0,0.0,"{""max_temperature_c"": 31.22, ""mean_temperature_c"": 28.35, ""humidity_percent"": 81.6, ""wbgt_c"": 28.95, ""heat_index_c"": 37.93, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-02,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,28.96,19.31,24.14,71.9,1.56,18.74,30.13,86.23,25.0,LOW,0,19.82,False,0,0.49,-4.3,0,0,0.0,0.093,0.723,0.34,0.712,0.551,0.499,0.679,0.55,0.491,0.0,0.0,0.0093,0.0,0.0,0.0093,0.0421,0.01116,0.03331,0.04448,0,0,0,0,0,0,0,0,0,0,-0.04448,0.0,0.0,"{""max_temperature_c"": 28.96, ""mean_temperature_c"": 24.14, ""humidity_percent"": 71.9, ""wbgt_c"": 25.0, ""heat_index_c"": 30.13, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-03,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,29.65,21.55,25.6,81.3,1.75,22.16,32.98,91.37,26.54,LOW,0,22.18,False,0,-0.85,3.0,0,0,0.0,0.52,0.57,0.421,0.779,0.501,0.586,0.792,0.6,0.558,0.0135,0.0356,0.0278,0.0991,0.0173,0.0769,0.3875,0.01254,0.0353,0.04785,0,0,0,0,0,0,0,0,0,0,-0.04785,0.0,0.0,"{""max_temperature_c"": 29.65, ""mean_temperature_c"": 25.6, ""humidity_percent"": 81.3, ""wbgt_c"": 26.54, ""heat_index_c"": 32.98, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-03,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.85,26.01,28.43,85.4,1.4,25.75,38.51,101.32,28.94,CAUTION,0,26.6,False,0,0.53,2.7,0,0,0.434,0.969,0.441,0.393,0.471,0.502,0.624,0.846,0.65,0.577,0.1202,0.1216,0.1794,0.0696,0.116,0.4212,0.7649,0.00417,0.01217,0.01634,0,0,0,0,0,0,0,0,0,0,-0.01634,0.0,0.0,"{""max_temperature_c"": 30.85, ""mean_temperature_c"": 28.43, ""humidity_percent"": 85.4, ""wbgt_c"": 28.94, ""heat_index_c"": 38.51, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-03,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,30.14,20.52,25.33,72.4,0.91,20.01,32.06,89.71,26.21,LOW,0,21.05,False,0,1.67,-3.8,0,0,0.0,0.251,0.69,0.358,0.706,0.55,0.469,0.679,0.55,0.488,0.0053,0.0,0.0,0.0093,0.0,0.0053,0.0474,0.01097,0.03316,0.04413,0,0,0,0,0,0,0,0,0,0,-0.04413,0.0,0.0,"{""max_temperature_c"": 30.14, ""mean_temperature_c"": 25.33, ""humidity_percent"": 72.4, ""wbgt_c"": 26.21, ""heat_index_c"": 32.06, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-04,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,30.65,25.37,28.01,84.4,4.65,25.12,37.37,99.27,28.37,CAUTION,0,26.05,False,0,0.22,5.9,0,0,0.342,0.891,0.486,0.455,0.762,0.502,0.552,0.793,0.6,0.554,0.0778,0.0135,0.0356,0.0278,0.0251,0.1269,0.4402,0.0123,0.03609,0.04838,0,0,0,0,0,0,0,0,0,0,-0.04838,0.0,0.0,"{""max_temperature_c"": 30.65, ""mean_temperature_c"": 28.01, ""humidity_percent"": 84.4, ""wbgt_c"": 28.37, ""heat_index_c"": 37.37, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-04,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.09,24.13,27.11,82.5,3.59,23.87,35.1,95.19,27.46,LOW,0,24.73,False,0,-0.22,-0.2,0,0,0.121,0.734,0.436,0.395,0.47,0.505,0.564,0.849,0.65,0.577,0.0364,0.1202,0.1216,0.1794,0.1494,0.2783,0.6519,0.00398,0.01153,0.01552,0,0,0,0,0,0,0,0,0,0,-0.01552,0.0,0.0,"{""max_temperature_c"": 30.09, ""mean_temperature_c"": 27.11, ""humidity_percent"": 82.5, ""wbgt_c"": 27.46, ""heat_index_c"": 35.1, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-04,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,30.65,20.1,25.38,68.7,2.96,19.2,32.14,89.86,25.95,LOW,0,20.58,False,0,2.2,-7.6,0,0,0.0,0.151,0.716,0.321,0.711,0.545,0.492,0.677,0.55,0.485,0.0,0.0053,0.0,0.0,0.0,0.0053,0.0474,0.01099,0.03281,0.04381,0,0,0,0,0,0,0,0,0,0,-0.04381,0.0,0.0,"{""max_temperature_c"": 30.65, ""mean_temperature_c"": 25.38, ""humidity_percent"": 68.7, ""wbgt_c"": 25.95, ""heat_index_c"": 32.14, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-05,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,31.21,23.11,27.16,79.8,4.08,23.37,36.15,97.07,27.73,LOW,0,23.72,False,0,0.86,1.1,0,0,0.0,0.672,0.454,0.401,0.756,0.495,0.561,0.794,0.6,0.553,0.0433,0.0778,0.0135,0.0356,0.1075,0.1347,0.376,0.01151,0.03404,0.04555,0,1,1,0,1,0,0,0,1,0,0.95445,0.001299,0.0,"{""max_temperature_c"": 31.21, ""mean_temperature_c"": 27.16, ""humidity_percent"": 79.8, ""wbgt_c"": 27.73, ""heat_index_c"": 36.15, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-05,Kerala,SYNTHETIC,35800000,17.0,45.0,38.0,0.28,50.0,30.16,25.21,27.68,82.6,0.67,24.44,35.81,96.46,28.05,CAUTION,0,25.8,False,0,-0.15,-0.2,0,0,0.3,0.805,0.386,0.397,0.46,0.505,0.578,0.85,0.65,0.578,0.0541,0.0364,0.1202,0.1216,0.078,0.2107,0.628,0.00379,0.01135,0.01514,0,0,0,0,0,0,0,0,0,0,-0.01514,0.0,0.0,"{""max_temperature_c"": 30.16, ""mean_temperature_c"": 27.68, ""humidity_percent"": 82.6, ""wbgt_c"": 28.05, ""heat_index_c"": 35.81, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-05,Karnataka,SYNTHETIC,68000000,11.5,38.5,50.0,0.45,42.0,28.67,18.97,23.82,78.9,1.91,19.95,30.39,86.71,25.22,LOW,0,19.5,False,0,0.23,2.6,0,0,0.0,0.243,0.6,0.352,0.687,0.549,0.481,0.676,0.55,0.486,0.0,0.0,0.0053,0.0,0.0328,0.0053,0.0146,0.01006,0.03187,0.04193,0,0,0,0,0,0,0,0,0,0,-0.04193,0.0,0.0,"{""max_temperature_c"": 28.67, ""mean_temperature_c"": 23.82, ""humidity_percent"": 78.9, ""wbgt_c"": 25.22, ""heat_index_c"": 30.39, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
2025-10-06,Tamil Nadu,SYNTHETIC,77000000,13.0,40.0,47.0,0.36,55.0,30.67,22.07,26.37,69.3,4.65,20.29,32.84,91.11,26.12,LOW,0,22.69,False,0,0.39,-9.6,0,0,0.0,0.286,0.56,0.416,0.777,0.498,0.558,0.795,0.6,0.552,0.003,0.0433,0.0778,0.0135,0.0788,0.1242,0.3002,0.01218,0.03434,0.04652,0,0,0,0,0,0,0,0,0,0,-0.04652,0.0,0.0,"{""max_temperature_c"": 30.67, ""mean_temperature_c"": 26.37, ""humidity_percent"": 69.3, ""wbgt_c"": 26.12, ""heat_index_c"": 32.84, ""heat_duration_hours"": 0, ""consecutive_heat_days"": 0}"
