date,state,population,max_temperature_c,mean_temperature_c,min_temperature_c,relative_humidity_percent,wind_speed_mps,heat_index_c,wbgt_c,heatwave_day,consecutive_heat_days,cumulative_heat_load_7day,expected_heat_related_deaths,heat_related_deaths_total,heat_related_deaths_male,heat_related_deaths_female,deaths_under_30,deaths_30_59,deaths_60_plus,heat_related_mortality_rate_per_100000,thermal_signature,data_type
2025-02-03,Tamil Nadu,72147030,33.5,28.6,23.7,64.6,4.5,39.8,27.4,False,0,27.11,1.4,1,1,0,0,0,1,0.0014,0.492_0.0_0.646,SYNTHETIC
2025-02-04,Tamil Nadu,72147030,33.0,28.9,24.8,68.4,4.1,40.6,27.5,False,0,27.09,1.25,0,0,0,0,0,0,0.0,0.502_0.0_0.684,SYNTHETIC
2025-02-05,Tamil Nadu,72147030,34.4,31.1,27.8,71.6,4.6,43.0,29.3,False,0,27.82,1.65,0,0,0,0,0,0,0.0,0.623_0.0_0.716,SYNTHETIC
2025-02-06,Tamil Nadu,72147030,33.7,27.9,22.0,66.7,3.3,40.7,26.9,False,0,27.43,1.46,0,0,0,0,0,0,0.0,0.461_0.0_0.667,SYNTHETIC
2025-02-07,Tamil Nadu,72147030,35.1,29.7,24.3,71.0,4.2,43.5,28.5,False,0,27.82,1.85,0,0,0,0,0,0,0.0,0.566_0.0_0.71,SYNTHETIC
2025-02-08,Tamil Nadu,72147030,34.9,30.8,26.8,66.1,1.5,41.7,29.2,False,0,28.18,1.8,0,0,0,0,0,0,0.0,0.613_0.0_0.661,SYNTHETIC
2025-02-09,Tamil Nadu,72147030,33.9,30.6,27.4,64.0,4.3,40.0,28.9,False,0,28.25,1.5,0,0,0,0,0,0,0.0,0.59_0.0_0.64,SYNTHETIC
2025-02-10,Tamil Nadu,72147030,32.5,27.2,21.8,65.2,3.2,39.0,26.2,False,0,28.07,1.24,0,0,0,0,0,0,0.0,0.411_0.0_0.652,SYNTHETIC
2025-02-11,Tamil Nadu,72147030,33.6,30.5,27.3,64.6,1.5,39.9,28.7,False,0,28.24,1.44,0,0,0,0,0,0,0.0,0.58_0.0_0.646,SYNTHETIC
2025-02-12,Tamil Nadu,72147030,33.6,29.7,25.9,67.8,4.5,40.9,28.2,False,0,28.07,1.42,0,0,0,0,0,0,0.0,0.547_0.0_0.678,SYNTHETIC
2025-02-13,Tamil Nadu,72147030,34.2,30.9,27.7,65.6,3.2,40.8,29.1,False,0,28.39,1.6,18,15,3,2,11,5,0.0249,0.61_0.0_0.656,SYNTHETIC
2025-02-14,Tamil Nadu,72147030,31.0,25.6,20.2,67.1,3.7,38.2,24.8,False,0,27.87,1.2,0,0,0,0,0,0,0.0,0.32_0.0_0.671,SYNTHETIC
2025-02-15,Tamil Nadu,72147030,35.1,30.9,26.6,72.4,4.7,44.0,29.3,False,0,27.89,1.87,4,3,1,0,1,3,0.0055,0.623_0.0_0.724,SYNTHETIC
2025-02-16,Tamil Nadu,72147030,30.4,26.6,22.8,60.2,1.2,35.3,25.3,False,0,27.38,1.18,7,7,0,1,5,1,0.0097,0.353_0.0_0.602,SYNTHETIC
2025-02-17,Tamil Nadu,72147030,34.5,29.2,23.9,74.7,3.1,44.2,28.1,False,0,27.66,1.7,4,3,1,1,3,0,0.0055,0.54_0.0_0.747,SYNTHETIC
2025-02-18,Tamil Nadu,72147030,31.7,27.3,23.0,71.4,4.6,40.2,26.2,False,0,27.3,1.21,0,0,0,0,0,0,0.0,0.413_0.0_0.714,SYNTHETIC
2025-02-19,Tamil Nadu,72147030,35.8,30.0,24.1,65.6,1.6,42.5,28.8,False,0,27.38,2.07,8,8,0,1,6,1,0.0111,0.586_0.0_0.656,SYNTHETIC
2025-02-20,Tamil Nadu,72147030,33.8,30.6,27.5,61.3,1.7,39.0,28.8,False,0,27.34,1.47,0,0,0,0,0,0,0.0,0.587_0.0_0.613,SYNTHETIC
2025-02-21,Tamil Nadu,72147030,32.4,28.3,24.2,62.5,3.0,38.0,26.9,False,0,27.63,1.23,0,0,0,0,0,0,0.0,0.459_0.0_0.625,SYNTHETIC
2025-02-22,Tamil Nadu,72147030,35.9,30.6,25.4,60.1,1.7,40.7,29.2,False,0,27.62,2.09,0,0,0,0,0,0,0.0,0.615_0.0_0.601,SYNTHETIC
2025-02-23,Tamil Nadu,72147030,33.7,28.5,23.3,52.0,1.1,35.9,27.2,False,0,27.89,1.46,0,0,0,0,0,0,0.0,0.481_0.0_0.52,SYNTHETIC
2025-02-24,Tamil Nadu,72147030,33.3,29.0,24.6,63.1,3.1,39.1,27.6,False,0,27.81,1.34,0,0,0,0,0,0,0.0,0.505_0.0_0.631,SYNTHETIC
2025-02-25,Tamil Nadu,72147030,33.3,29.3,25.3,59.2,1.5,37.8,27.7,False,0,28.04,1.32,5,3,2,1,4,0,0.0069,0.516_0.0_0.592,SYNTHETIC
2025-02-26,Tamil Nadu,72147030,32.1,26.1,20.2,66.9,3.4,39.1,25.4,False,0,27.55,1.22,0,0,0,0,0,0,0.0,0.357_0.0_0.669,SYNTHETIC
2025-02-27,Tamil Nadu,72147030,34.5,30.6,26.7,59.9,1.7,39.2,28.9,False,0,27.56,1.67,8,7,1,0,6,2,0.0111,0.594_0.0_0.599,SYNTHETIC
2025-02-28,Tamil Nadu,72147030,35.5,31.8,28.1,48.0,1.5,36.4,29.8,False,0,27.98,1.99,1,1,0,0,1,0,0.0014,0.656_0.0_0.48,SYNTHETIC
2025-03-01,Tamil Nadu,72147030,35.0,31.6,28.2,59.4,1.3,39.6,29.7,False,0,28.05,1.83,5,3,2,1,1,3,0.0069,0.646_0.0_0.594,SYNTHETIC
2025-03-02,Tamil Nadu,72147030,36.0,30.5,25.0,69.1,1.6,43.8,29.2,False,0,28.34,2.14,2,1,1,0,2,0,0.0028,0.615_0.0_0.691,SYNTHETIC
2025-03-03,Tamil Nadu,72147030,35.0,29.5,24.1,65.7,2.8,41.6,28.3,False,0,28.44,1.84,0,0,0,0,0,0,0.0,0.553_0.0_0.657,SYNTHETIC
2025-03-04,Tamil Nadu,72147030,33.1,27.4,21.7,60.8,2.5,38.1,26.4,False,0,28.24,1.27,0,0,0,0,0,0,0.0,0.426_0.0_0.608,SYNTHETIC
2025-03-05,Tamil Nadu,72147030,35.8,31.8,27.8,63.3,1.6,41.7,30.0,False,0,28.91,2.1,4,4,0,1,2,1,0.0055,0.668_0.0_0.633,SYNTHETIC
2025-03-06,Tamil Nadu,72147030,35.1,29.6,24.2,64.3,1.4,41.3,28.4,False,0,28.84,1.89,3,2,1,0,3,0,0.0042,0.56_0.0_0.643,SYNTHETIC
2025-03-07,Tamil Nadu,72147030,33.2,29.2,25.2,61.3,1.7,38.5,27.7,False,0,28.53,1.33,7,4,3,0,5,2,0.0097,0.514_0.0_0.613,SYNTHETIC
2025-03-08,Tamil Nadu,72147030,33.8,28.5,23.3,69.1,4.7,41.6,27.4,False,0,28.21,1.47,9,8,1,1,6,2,0.0125,0.495_0.0_0.691,SYNTHETIC
2025-03-09,Tamil Nadu,72147030,33.6,29.2,24.9,58.2,1.6,37.8,27.8,False,0,28.0,1.42,0,0,0,0,0,0,0.0,0.518_0.0_0.582,SYNTHETIC
2025-03-10,Tamil Nadu,72147030,37.5,32.7,27.8,50.0,1.1,39.0,30.9,False,0,28.37,2.6,2,2,0,0,1,1,0.0028,0.724_0.0_0.5,SYNTHETIC
2025-03-11,Tamil Nadu,72147030,35.0,29.7,24.5,59.7,1.8,39.7,28.4,False,0,28.66,1.85,4,3,1,0,4,0,0.0055,0.561_0.0_0.597,SYNTHETIC
2025-03-12,Tamil Nadu,72147030,34.3,30.8,27.2,59.8,4.4,39.0,29.0,False,0,28.51,1.65,8,7,1,2,6,0,0.0111,0.6_0.0_0.598,SYNTHETIC
2025-03-13,Tamil Nadu,72147030,35.4,30.4,25.5,61.0,2.0,40.5,29.0,False,0,28.59,1.97,0,0,0,0,0,0,0.0,0.599_0.0_0.61,SYNTHETIC
2025-03-14,Tamil Nadu,72147030,35.7,30.7,25.7,64.1,1.8,41.8,29.3,False,0,28.82,2.07,0,0,0,0,0,0,0.0,0.618_0.0_0.641,SYNTHETIC
2025-03-15,Tamil Nadu,72147030,36.8,32.5,28.3,51.8,4.6,38.9,30.7,False,0,29.28,2.42,5,4,1,1,2,2,0.0069,0.711_0.0_0.518,SYNTHETIC
2025-03-16,Tamil Nadu,72147030,36.3,30.7,25.0,63.3,4.2,42.2,29.4,False,0,29.51,2.29,0,0,0,0,0,0,0.0,0.624_0.0_0.633,SYNTHETIC
2025-03-17,Tamil Nadu,72147030,36.7,30.8,24.8,56.7,3.1,40.4,29.5,False,0,29.3,2.4,0,0,0,0,0,0,0.0,0.63_0.0_0.567,SYNTHETIC
2025-03-18,Tamil Nadu,72147030,36.8,33.0,29.2,52.5,3.2,39.2,31.0,False,0,29.67,2.45,1,1,0,0,0,1,0.0014,0.734_0.0_0.525,SYNTHETIC
2025-03-19,Tamil Nadu,72147030,37.0,32.2,27.4,62.1,3.7,42.5,30.6,False,0,29.9,2.51,0,0,0,0,0,0,0.0,0.704_0.0_0.621,SYNTHETIC
2025-03-20,Tamil Nadu,72147030,35.8,32.3,28.8,57.1,4.0,39.6,30.3,False,0,30.09,2.14,0,0,0,0,0,0,0.0,0.687_0.0_0.571,SYNTHETIC
2025-03-21,Tamil Nadu,72147030,35.4,30.2,25.1,50.0,2.2,36.9,28.7,False,0,30.01,2.02,3,3,0,1,2,0,0.0042,0.582_0.0_0.5,SYNTHETIC
2025-03-22,Tamil Nadu,72147030,40.7,36.7,32.7,56.0,4.1,44.2,34.4,True,1,30.54,3.26,0,0,0,0,0,0,0.0,0.958_0.1_0.56,SYNTHETIC
2025-03-23,Tamil Nadu,72147030,36.0,32.2,28.5,65.4,4.3,42.5,30.4,False,0,30.69,2.23,3,1,2,1,1,1,0.0042,0.694_0.0_0.654,SYNTHETIC
2025-03-24,Tamil Nadu,72147030,37.2,31.6,26.0,49.4,3.9,38.5,30.1,False,0,30.78,2.63,7,5,2,1,4,2,0.0097,0.672_0.0_0.494,SYNTHETIC
2025-03-25,Tamil Nadu,72147030,37.0,31.4,25.8,59.3,4.4,41.5,30.0,False,0,30.63,2.54,0,0,0,0,0,0,0.0,0.664_0.0_0.593,SYNTHETIC
2025-03-26,Tamil Nadu,72147030,36.5,33.2,30.0,54.1,3.8,39.3,31.1,False,0,30.7,2.38,0,0,0,0,0,0,0.0,0.739_0.0_0.541,SYNTHETIC
2025-03-27,Tamil Nadu,72147030,39.3,35.4,31.4,56.5,3.5,43.0,33.2,True,1,31.12,3.16,5,2,3,0,2,3,0.0069,0.881_0.1_0.565,SYNTHETIC
2025-03-28,Tamil Nadu,72147030,40.7,35.1,29.4,53.5,4.9,43.3,33.2,True,2,31.76,3.49,4,4,0,2,2,0,0.0055,0.881_0.2_0.535,SYNTHETIC
2025-03-29,Tamil Nadu,72147030,37.3,33.1,29.0,56.2,3.7,40.8,31.2,False,0,31.31,2.66,0,0,0,0,0,0,0.0,0.746_0.0_0.562,SYNTHETIC
2025-03-30,Tamil Nadu,72147030,38.8,33.0,27.2,53.8,2.9,41.6,31.4,True,1,31.45,3.13,5,5,0,0,4,1,0.0069,0.761_0.1_0.538,SYNTHETIC
2025-03-31,Tamil Nadu,72147030,39.6,34.5,29.4,51.8,1.6,41.7,32.6,True,2,31.81,3.37,6,6,0,0,2,4,0.0083,0.838_0.2_0.518,SYNTHETIC
2025-04-01,Tamil Nadu,72147030,37.2,33.1,29.0,50.5,2.0,38.9,31.1,False,0,31.97,2.69,1,1,0,1,0,0,0.0014,0.742_0.0_0.505,SYNTHETIC
2025-04-02,Tamil Nadu,72147030,37.5,33.1,28.7,60.3,3.4,42.4,31.3,False,0,32.0,2.78,14,9,5,3,6,5,0.0194,0.752_0.0_0.603,SYNTHETIC
2025-04-03,Tamil Nadu,72147030,35.6,30.7,25.8,57.9,3.2,39.7,29.2,False,0,31.42,2.14,6,3,3,2,4,0,0.0083,0.611_0.0_0.579,SYNTHETIC
2025-04-04,Tamil Nadu,72147030,39.5,36.3,33.2,46.4,4.5,39.8,33.8,True,1,31.5,3.19,26,19,7,3,18,5,0.036,0.919_0.1_0.464,SYNTHETIC
2025-04-05,Tamil Nadu,72147030,39.1,35.4,31.7,52.8,1.9,41.5,33.1,True,2,31.78,3.31,0,0,0,0,0,0,0.0,0.875_0.2_0.528,SYNTHETIC
2025-04-06,Tamil Nadu,72147030,38.5,35.0,31.4,53.5,4.5,41.2,32.7,True,3,31.97,3.4,4,2,2,1,2,1,0.0055,0.849_0.3_0.535,SYNTHETIC
2025-04-07,Tamil Nadu,72147030,38.4,34.1,29.8,49.7,1.8,39.8,32.1,False,0,31.9,2.97,2,2,0,1,1,0,0.0028,0.804_0.0_0.497,SYNTHETIC
2025-04-08,Tamil Nadu,72147030,41.6,37.7,33.9,50.8,3.8,43.4,35.2,True,1,32.49,3.48,5,4,1,1,4,0,0.0069,1.016_0.1_0.508,SYNTHETIC
2025-04-09,Tamil Nadu,72147030,36.6,32.6,28.5,53.3,1.1,39.2,30.7,False,0,32.4,2.52,0,0,0,0,0,0,0.0,0.712_0.0_0.533,SYNTHETIC
2025-04-10,Tamil Nadu,72147030,39.5,35.9,32.3,56.1,1.7,43.0,33.6,True,1,33.03,3.28,0,0,0,0,0,0,0.0,0.905_0.1_0.561,SYNTHETIC
2025-04-11,Tamil Nadu,72147030,40.8,35.2,29.5,54.6,3.9,43.8,33.3,True,2,32.96,3.57,9,9,0,0,6,3,0.0125,0.888_0.2_0.546,SYNTHETIC
2025-04-12,Tamil Nadu,72147030,42.6,37.4,32.2,52.2,1.9,44.8,35.2,True,3,33.26,3.94,44,34,10,4,30,10,0.061,1.014_0.3_0.522,SYNTHETIC
2025-04-13,Tamil Nadu,72147030,36.2,30.9,25.6,58.3,1.5,40.5,29.5,False,0,32.79,2.4,0,0,0,0,0,0,0.0,0.63_0.0_0.583,SYNTHETIC
2025-04-14,Tamil Nadu,72147030,39.7,35.4,31.1,49.9,2.0,41.2,33.2,True,1,32.96,3.3,1,1,0,0,1,0,0.0014,0.881_0.1_0.499,SYNTHETIC
2025-04-15,Tamil Nadu,72147030,37.8,32.2,26.7,62.6,4.2,43.4,30.7,False,0,32.31,2.87,1,1,0,1,0,0,0.0014,0.716_0.0_0.626,SYNTHETIC
2025-04-16,Tamil Nadu,72147030,39.4,36.3,33.1,52.4,1.5,41.7,33.8,True,1,32.76,3.26,1,1,0,1,0,0,0.0014,0.919_0.1_0.524,SYNTHETIC
2025-04-17,Tamil Nadu,72147030,39.7,35.3,31.0,53.7,3.1,42.4,33.2,True,2,32.71,3.43,0,0,0,0,0,0,0.0,0.882_0.2_0.537,SYNTHETIC
2025-04-18,Tamil Nadu,72147030,40.0,36.4,32.8,46.7,3.7,40.4,34.0,True,3,32.8,3.62,7,4,3,1,5,1,0.0097,0.932_0.3_0.467,SYNTHETIC
2025-04-19,Tamil Nadu,72147030,40.9,37.6,34.2,46.0,3.6,41.1,34.9,True,4,32.76,3.87,13,11,2,1,12,0,0.018,0.995_0.4_0.46,SYNTHETIC
2025-04-20,Tamil Nadu,72147030,39.9,35.4,30.8,50.0,2.9,41.4,33.2,True,5,33.3,3.93,0,0,0,0,0,0,0.0,0.883_0.5_0.5,SYNTHETIC
2025-04-21,Tamil Nadu,72147030,40.0,35.2,30.4,63.7,4.1,46.1,33.3,True,6,33.31,4.09,3,2,1,0,1,2,0.0042,0.886_0.6_0.637,SYNTHETIC
2025-04-22,Tamil Nadu,72147030,37.4,32.9,28.5,50.0,2.0,38.9,31.0,False,0,33.36,2.81,1,1,0,0,1,0,0.0014,0.736_0.0_0.5,SYNTHETIC
2025-04-23,Tamil Nadu,72147030,37.1,32.8,28.6,56.0,1.5,40.6,31.0,False,0,32.95,2.69,0,0,0,0,0,0,0.0,0.731_0.0_0.56,SYNTHETIC
2025-04-24,Tamil Nadu,72147030,37.7,33.0,28.3,52.8,2.0,40.1,31.2,False,0,32.66,2.87,23,21,2,1,15,7,0.0319,0.745_0.0_0.528,SYNTHETIC
2025-04-25,Tamil Nadu,72147030,39.6,35.9,32.3,53.2,1.4,42.1,33.6,True,1,32.61,3.27,0,0,0,0,0,0,0.0,0.907_0.1_0.532,SYNTHETIC
2025-04-26,Tamil Nadu,72147030,37.8,33.0,28.3,44.1,3.0,37.4,31.1,False,0,32.07,2.88,4,4,0,1,3,0,0.0055,0.743_0.0_0.441,SYNTHETIC
2025-04-27,Tamil Nadu,72147030,37.8,34.1,30.5,45.8,2.4,38.0,31.9,False,0,31.88,2.87,0,0,0,0,0,0,0.0,0.795_0.0_0.458,SYNTHETIC
2025-04-28,Tamil Nadu,72147030,39.1,33.4,27.8,43.0,3.6,38.3,31.7,True,1,31.64,3.16,3,2,1,1,2,0,0.0042,0.777_0.1_0.43,SYNTHETIC
2025-04-29,Tamil Nadu,72147030,39.6,36.1,32.5,51.1,3.8,41.5,33.7,True,2,32.02,3.38,0,0,0,0,0,0,0.0,0.912_0.2_0.511,SYNTHETIC
2025-04-30,Tamil Nadu,72147030,37.7,32.7,27.7,56.8,4.2,41.4,31.0,False,0,32.02,2.83,11,5,6,2,4,5,0.0152,0.732_0.0_0.568,SYNTHETIC
2025-05-01,Tamil Nadu,72147030,37.6,34.4,31.1,43.9,4.7,37.1,32.0,False,0,32.14,2.82,2,2,0,0,1,1,0.0028,0.801_0.0_0.439,SYNTHETIC
2025-05-02,Tamil Nadu,72147030,39.0,34.8,30.7,50.0,4.5,40.5,32.7,True,1,32.01,3.17,8,5,3,1,4,3,0.0111,0.844_0.1_0.5,SYNTHETIC
2025-05-03,Tamil Nadu,72147030,37.3,33.2,29.0,48.9,1.3,38.4,31.1,False,0,32.01,2.69,0,0,0,0,0,0,0.0,0.743_0.0_0.489,SYNTHETIC
2025-05-04,Tamil Nadu,72147030,38.8,34.8,30.9,52.8,3.0,41.2,32.7,True,1,32.11,3.15,3,2,1,1,1,1,0.0042,0.844_0.1_0.528,SYNTHETIC
2025-05-05,Tamil Nadu,72147030,39.1,33.2,27.2,48.6,2.0,40.2,31.5,True,2,32.09,3.33,0,0,0,0,0,0,0.0,0.768_0.2_0.486,SYNTHETIC
2025-05-06,Tamil Nadu,72147030,38.3,33.8,29.3,51.1,5.0,40.2,31.8,False,0,31.83,2.96,6,6,0,1,3,2,0.0083,0.789_0.0_0.511,SYNTHETIC
2025-05-07,Tamil Nadu,72147030,38.1,35.0,31.9,37.3,2.0,35.4,32.5,False,0,32.05,2.94,2,2,0,0,0,2,0.0028,0.832_0.0_0.373,SYNTHETIC
2025-05-08,Tamil Nadu,72147030,38.9,35.6,32.3,53.1,3.2,41.4,33.2,True,1,32.22,3.18,0,0,0,0,0,0,0.0,0.882_0.1_0.531,SYNTHETIC
2025-05-09,Tamil Nadu,72147030,38.3,33.1,27.9,45.7,2.9,38.4,31.3,False,0,32.02,2.96,1,0,1,0,0,1,0.0014,0.751_0.0_0.457,SYNTHETIC
2025-05-10,Tamil Nadu,72147030,38.0,32.9,27.8,55.3,2.8,41.2,31.2,False,0,32.02,2.92,0,0,0,0,0,0,0.0,0.745_0.0_0.553,SYNTHETIC
2025-05-11,Tamil Nadu,72147030,42.2,37.2,32.3,47.1,4.6,42.7,35.0,True,1,32.35,3.54,1,1,0,0,1,0,0.0014,0.998_0.1_0.471,SYNTHETIC
2025-05-12,Tamil Nadu,72147030,42.0,38.9,35.7,50.7,1.3,43.7,36.1,True,2,33.01,3.71,1,0,1,0,1,0,0.0014,1.075_0.2_0.507,SYNTHETIC
2025-05-13,Tamil Nadu,72147030,37.0,32.9,28.9,45.2,4.1,36.9,30.9,False,0,32.87,2.65,1,1,0,0,0,1,0.0014,0.726_0.0_0.452,SYNTHETIC
2025-05-14,Tamil Nadu,72147030,40.5,35.6,30.7,46.2,2.5,40.7,33.5,True,1,33.02,3.39,0,0,0,0,0,0,0.0,0.899_0.1_0.462,SYNTHETIC
2025-05-15,Tamil Nadu,72147030,39.7,36.6,33.4,60.8,4.9,44.8,34.1,True,2,33.15,3.46,9,8,1,1,6,2,0.0125,0.942_0.2_0.608,SYNTHETIC
2025-05-16,Tamil Nadu,72147030,40.3,34.7,29.1,47.1,4.4,40.8,32.8,True,3,33.37,3.68,16,11,5,2,9,5,0.0222,0.855_0.3_0.471,SYNTHETIC
2025-05-17,Tamil Nadu,72147030,42.5,37.9,33.4,55.4,2.2,45.7,35.6,True,4,34.0,4.14,4,4,0,1,2,1,0.0055,1.039_0.4_0.554,SYNTHETIC
2025-05-18,Tamil Nadu,72147030,40.9,37.3,33.7,47.9,3.2,41.7,34.8,True,5,33.98,4.09,4,3,1,1,2,1,0.0055,0.986_0.5_0.479,SYNTHETIC
2025-05-19,Tamil Nadu,72147030,36.8,33.4,29.9,44.5,2.2,36.5,31.2,False,0,33.27,2.62,8,6,2,2,5,1,0.0111,0.745_0.0_0.445,SYNTHETIC
